Designator,Mid X,Mid Y,Rotation,Layer
C1,137.0,-48.0,270.0,top
C10,126.0,-82.5,180.0,top
C11,115.5,-71.5,180.0,top
C12,136.5,-71.5,0.0,top
C13,115.5,-81.5,180.0,top
C14,136.5,-81.5,0.0,top
C15,115.5,-91.5,180.0,top
C16,136.5,-91.5,0.0,top
C17,119.5,-71.5,180.0,top
C18,132.5,-71.5,0.0,top
C19,119.5,-81.5,180.0,top
C20,132.5,-81.5,0.0,top
C21,119.5,-91.5,180.0,top
C22,132.5,-91.5,0.0,top
C23,149.0,-65.5,180.0,top
C24,149.0,-71.0,180.0,top
C25,145.0,-75.0,90.0,top
C26,149.0,-89.0,180.0,top
C4,174.11,-90.521251,270.0,bottom
C6,162.5875,-71.5,0.0,bottom
C8,126.0,-62.5,180.0,top
C9,126.0,-72.5,180.0,top
D1,114.0,-57.5,0.0,top
DO1,127.65,-102.71,90.0,top
I2C1,129.54,-49.29,270.0,top
J1,166.38,-56.525001,180.0,top
L1,149.0,-81.0,0.0,top
R1,139.5,-48.0,90.0,top
R10,136.5,-89.0,180.0,top
R11,119.5,-69.0,0.0,top
R12,132.5,-69.0,180.0,top
R13,119.5,-79.0,0.0,top
R14,132.5,-79.0,180.0,top
R15,119.5,-89.0,0.0,top
R16,132.5,-89.0,180.0,top
R17,119.5,-66.5,180.0,top
R18,132.5,-66.5,0.0,top
R19,119.5,-76.5,180.0,top
R2,174.11,-84.521251,270.0,bottom
R20,132.5,-76.5,0.0,top
R21,119.5,-86.5,180.0,top
R22,132.5,-86.5,0.0,top
R23,119.5,-64.0,0.0,top
R24,132.5,-64.0,180.0,top
R25,119.5,-74.0,0.0,top
R26,132.5,-74.0,180.0,top
R27,119.5,-84.0,0.0,top
R28,132.5,-84.0,180.0,top
R29,135.5,-57.5,180.0,top
R3,166.5,-71.5,180.0,bottom
R30,131.5,-57.5,180.0,top
R31,118.0,-57.5,180.0,top
R32,155.0,-70.0,90.0,top
R33,155.0,-80.0,270.0,top
R34,155.0,-75.0,270.0,top
R4,162.5875,-69.0,180.0,bottom
R5,115.5,-69.0,0.0,top
R6,136.5,-69.0,180.0,top
R7,115.5,-79.0,0.0,top
R8,136.5,-79.0,180.0,top
R9,115.5,-89.0,0.0,top
U1,168.0,-77.0,270.0,top
U2,171.11,-75.521251,90.0,bottom
U3,152.0,-51.25,0.0,top
U5,126.0,-67.0,0.0,top
U6,126.0,-77.0,0.0,top
U7,126.0,-87.0,0.0,top
U8,149.0,-75.0,90.0,top
X1,155.86,-96.500002,0.0,top
X2,163.48,-96.500001,0.0,top
