Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1u,
"C2, C8",CP_Elec_6.3x5.4,2,100u/16V,
"C3, C4, C6, C7",0805,4,10u/16V,
C5,0805,1,100n,
D1,0805,1,LED,
"D3, D4",D_SMB_Handsoldering,2,SK22,
I2C1,IDC-Header_2x03_P2.54mm_Vertical,1,I2C,
J1,PinHeader_1x03_P2.54mm_Vertical,1,PROG,
J2,PinHeader_1x05_P2.54mm_Vertical,1,AUX,
J3,DG235-3.81-02P,1,Fan2,
J5,DG235-3.81-02P,1,Fan1,
L1,CKCS6028,1,6.8uH,
"Q1, Q3",SOT-223,2,YJM04N10A,
"R1, R7, R9",0805,3,10k,
"R10, R8",0805,2,100,
R2,0805,1,100k,
R3,0805,1,30k 1%,
"R36, R37",0805,2,1k5,
R38,0805,1,270R,
R4,0805,1,6.65k 1%,
U1,SOT-23-6,1,FR8205,
U3,ESP32-C3-WROOM-02-Handsolder,1,ESP32-C3-WROOM-02,
X1,DG235-3.81-02P,1,12V,
