Designator,Mid X,Mid Y,Rotation,Layer
C1,5.5,59.0,270.0,top
C3,31.5,64.5,0.0,top
C4,31.5,62.5,0.0,top
C5,30.5,50.0,180.0,top
C6,33.0,38.0,180.0,top
C7,33.0,36.0,180.0,top
D1,15.5,60.0,0.0,top
D3,6.0,18.0,180.0,top
D4,16.0,18.0,180.0,top
I2C1,30.255,6.0425,90.0,top
J1,26.0,77.0,180.0,top
J3,14.192,8.477001,0.0,top
J5,6.572,8.477,0.0,top
L1,33.0,45.0,0.0,top
Q1,6.0,26.0,90.0,top
Q3,15.0,26.0,90.0,top
R1,5.5,55.0,270.0,top
R10,17.0,34.0,270.0,top
R2,30.5,57.0,180.0,top
R3,35.0,54.5,0.0,top
R36,27.0,15.0,0.0,top
R37,33.5,15.0,0.0,top
R38,20.0,60.0,180.0,top
R4,35.0,57.0,0.0,top
R7,4.0,34.0,90.0,top
R8,8.0,34.0,270.0,top
R9,13.0,34.0,90.0,top
U1,30.5,53.5,0.0,top
U3,12.0,72.0,0.0,top
X1,33.428,77.523,180.0,top
